Brand,brand_number,model,model_number,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Maruti Suzuki,2,Swift-Dzire,8,2010,14,150549.0,1,0,1,380000
Honda,0,City,0,2014,10,65000.0,0,0,0,380000
Honda,0,City,0,2017,7,45000.0,0,1,0,775000
Maruti Suzuki,2,Swift,2,2015,9,45000.0,1,0,2,345000
Maruti Suzuki,2,Eeco,57,2022,2,56000.0,0,0,2,500000
Maruti Suzuki,2,Eeco,57,2021,3,50000.0,0,1,0,480000
Maruti Suzuki,2,XL6,120,2019,5,68738.0,1,0,2,900000
Maruti Suzuki,2,800,183,2016,8,75000.0,0,1,2,200000
Maruti Suzuki,2,Ertiga,12,2015,9,56800.0,1,1,2,699999
BMW,3,5 Series,97,2013,11,54000.0,0,0,1,1100000
Toyota,5,Corolla,9,2008,16,55000.0,0,1,0,295000
Maruti Suzuki,2,Alto-800,62,2016,8,59521.0,1,0,0,245000
Hyundai,6,Santro,179,2011,13,100000.0,1,1,2,125000
Ford,4,Ecosport,6,2019,5,126353.0,1,1,1,780000
Hyundai,6,New i20,103,2020,4,48298.0,0,1,0,945000
Maruti Suzuki,2,Alto-K10,7,2018,6,27000.0,0,0,0,365000
Hyundai,6,Creta,22,2017,7,58212.0,0,0,1,825000
Maruti Suzuki,2,Wagon-R,32,2017,7,59000.0,1,1,2,320000
Tata,14,tata-punch,248,2022,2,43000.0,1,0,2,695000
Maruti Suzuki,2,Eeco,57,2019,5,49000.0,1,1,2,450000
Mahindra,13,Bolero,107,2013,11,57450.0,1,0,1,385000
Tata,14,Nano,141,2016,8,72000.0,1,1,2,200000
Maruti Suzuki,2,Ertiga,12,2023,1,32000.0,1,0,2,1171000
Maruti Suzuki,2,Wagon-R-1-0,211,2021,3,42000.0,1,0,2,515000
Maruti Suzuki,2,Ritz,43,2014,10,86000.0,1,1,2,335000
Hyundai,6,Verna,26,2012,12,77000.0,1,0,0,390000
Volvo,19,S60,180,2012,12,45000.0,0,1,1,1300000
Hyundai,6,Elite i20,104,2019,5,75000.0,1,0,2,595000
Maruti Suzuki,2,Vitara-Brezza,19,2019,5,70737.0,0,1,1,811000
Maruti Suzuki,2,Eeco,57,2015,9,71455.0,1,0,2,365000
Mercedes-Benz,12,GLA Class,38,2019,5,40000.0,0,1,1,2000000
Mahindra,13,XUV500,36,2018,6,71000.0,1,0,1,945000
Honda,0,City,0,2013,11,90000.0,1,0,0,375000
Audi,8,A6,93,2013,11,125000.0,0,1,1,900000
Honda,0,Amaze,70,2018,6,42000.0,1,1,1,375000
Honda,0,Amaze,70,2018,6,77000.0,1,0,1,550000
Maruti Suzuki,2,Celerio,18,2019,5,68000.0,0,1,0,425000
Maruti Suzuki,2,Eeco,57,2018,6,77738.0,1,1,2,490000
Maruti Suzuki,2,Swift-Dzire,8,2019,5,106000.0,1,0,1,580000
Kia,7,Sonet,44,2021,3,81236.0,0,0,0,970000
Hyundai,6,Creta,22,2016,8,71000.0,1,0,2,690000
Maruti Suzuki,2,Wagon-R,32,2015,9,90000.0,0,1,2,275000
Maruti Suzuki,2,Baleno,3,2017,7,102000.0,1,1,0,540000
BMW,3,3 Series,90,2012,12,80000.0,0,1,1,650000
Maruti Suzuki,2,Swift-Dzire,8,2013,11,98000.0,1,0,1,385000
Volkswagen,1,Tiguan,89,2018,6,93173.0,0,0,1,1950000
Honda,0,City,0,2003,21,102300.0,1,1,0,125000
Honda,0,Brio,52,2013,11,81000.0,0,0,2,320000
Maruti Suzuki,2,Celerio,18,2019,5,71000.0,1,1,2,450000
Maruti Suzuki,2,Wagon-R,32,2015,9,72147.0,0,1,2,210000
Toyota,5,Innova,20,2013,11,125000.0,1,1,1,1075000
Maruti Suzuki,2,Ertiga,12,2020,4,65846.0,1,0,2,870000
Maruti Suzuki,2,Swift,2,2018,6,36000.0,0,0,0,665000
Maruti Suzuki,2,Celerio,18,2017,7,35000.0,0,0,2,450000
Honda,0,Brio,52,2014,10,76000.0,1,1,2,233000
Ford,4,Fiesta,207,2008,16,158000.0,0,1,0,120000
Maruti Suzuki,2,Swift,2,2022,2,40000.0,0,0,0,775000
Honda,0,City,0,2016,8,141000.0,1,1,1,610000
Skoda,11,Laura,182,2010,14,82000.0,1,0,1,475000
Honda,0,Brio,52,2014,10,67000.0,0,0,0,290000
Maruti Suzuki,2,Wagon-R,32,2012,12,95000.0,1,1,2,225000
Mahindra,13,Thar,50,2021,3,70000.0,1,0,1,1350000
Hyundai,6,i20,24,2012,12,46000.0,1,1,0,321000
Renault,9,KWID,16,2020,4,52000.0,0,0,2,350000
Tata,14,Tiago,86,2020,4,70716.0,1,0,0,490000
Audi,8,Q3,80,2018,6,55000.0,0,1,1,1400000
Maruti Suzuki,2,Baleno,3,2017,7,75000.0,1,0,2,580000
Maruti Suzuki,2,Alto-800,62,2020,4,46000.0,1,0,0,365000
Hyundai,6,i10,37,2013,11,63000.0,1,1,0,185000
Maruti Suzuki,2,Swift,2,2018,6,55000.0,0,1,0,565000
Hyundai,6,Grand i10 Nios,61,2022,2,35000.0,0,0,0,685000
Hyundai,6,i20 Active,209,2016,8,63000.0,1,1,2,425000
Maruti Suzuki,2,Wagon-R,32,2014,10,73000.0,1,1,2,355000
Maruti Suzuki,2,Swift,2,2020,4,67850.0,0,0,2,675000
Hyundai,6,i10,37,2012,12,53000.0,1,1,2,275000
Hyundai,6,Grand i10 Nios,61,2021,3,22000.0,1,0,0,549000
Renault,9,Duster,31,2016,8,82000.0,1,0,1,575000
Hyundai,6,Verna,26,2015,9,52000.0,0,1,2,445000
Chevrolet,16,Enjoy,157,2014,10,90000.0,1,1,1,330000
Volkswagen,1,VentoTest,1,2012,12,32000.0,0,1,0,450000
Maruti Suzuki,2,800,183,2004,20,56000.0,1,1,0,50000
Maruti Suzuki,2,Swift-Dzire,8,2016,8,95000.0,1,1,0,510000
Toyota,5,Fortuner,48,2013,11,150000.0,0,1,1,1390000
Mahindra,13,Scorpio,102,2014,10,113000.0,0,1,1,795000
Tata,14,Indigo Ecs,49,2012,12,98000.0,1,1,0,145000
Hyundai,6,Santro Xing,105,2008,16,89127.0,1,1,2,115000
Maruti Suzuki,2,Swift-Dzire,8,2016,8,65000.0,1,1,2,335399
Chevrolet,16,Enjoy,157,2013,11,136000.0,1,1,1,440000
BMW,3,3 Series,90,2015,9,70000.0,0,0,1,915000
